dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-08-01,62,242,12,20,3,2,2,0,3,3,6,0,0
2016-09-01,52,198,18,16,2,10,3,7,19,15,57,19,6
2016-10-01,103,607,73,42,21,203,19,160,374,296,1315,36,143
2016-11-01,86,491,53,36,23,213,20,193,350,306,1575,28,109
2016-12-01,72,305,43,21,8,149,13,144,261,204,870,20,94
2017-01-01,103,452,70,37,18,243,33,199,438,385,1308,34,134
2017-02-01,118,534,72,29,15,349,36,292,575,420,1513,41,143
2017-03-01,89,411,50,30,13,286,25,274,560,494,1408,41,134
2017-04-01,108,373,83,29,13,363,53,321,545,772,2464,60,137
2017-05-01,67,185,48,18,8,190,15,161,318,250,806,33,107
2017-06-01,81,225,53,27,15,184,28,181,311,321,826,31,99
2017-07-01,61,189,34,17,7,157,19,128,285,223,738,28,80
2017-08-01,74,322,44,18,8,274,11,253,426,493,1107,116,138
2017-09-01,60,193,38,14,5,207,14,186,297,339,810,36,78
2017-10-01,67,304,34,23,12,282,38,262,406,476,933,47,69
2017-11-01,55,153,37,14,8,128,12,118,239,204,499,50,92
2017-12-01,65,193,40,16,7,119,7,114,226,241,577,55,85
2018-01-01,59,181,34,17,8,114,14,110,233,223,570,45,81
2018-02-01,66,153,40,16,6,133,11,112,238,221,599,65,99
2018-03-01,68,192,45,18,9,143,15,121,240,187,603,58,96
2018-04-01,69,204,37,16,2,154,14,130,241,212,578,72,91
2018-05-01,62,124,38,13,6,112,13,95,193,147,376,63,80
2018-06-01,51,96,28,14,3,97,13,76,179,119,894,70,73
2018-07-01,43,167,20,15,5,99,14,47,173,76,381,60,81
2018-08-01,39,199,24,10,4,93,6,59,160,73,439,82,73
2018-09-01,51,488,23,14,5,68,6,55,135,88,398,32,71
2018-10-01,35,285,17,11,2,68,9,22,134,39,279,647,164
2018-11-01,58,375,31,17,7,89,3,42,167,72,369,67,68
2018-12-01,58,365,33,18,6,92,38,137,178,227,833,58,86
2019-01-01,53,471,33,15,6,106,39,122,164,613,1761,36,88
2019-02-01,59,458,38,14,8,129,16,127,253,227,1015,53,79
2019-03-01,37,379,13,12,4,105,8,92,181,152,680,49,85
2019-04-01,34,190,14,7,0,98,6,54,185,99,458,93,66
2019-05-01,35,263,17,8,2,54,4,56,126,92,370,58,67
2019-06-01,41,343,20,10,1,65,4,34,135,89,470,38,77
2019-07-01,48,215,25,12,6,79,12,82,171,133,495,61,61
2019-08-01,41,119,22,9,1,91,22,59,155,106,476,45,78
2019-09-01,39,175,12,11,2,98,7,96,197,154,520,42,70
2019-10-01,39,216,13,8,2,144,8,111,242,198,682,42,81
2019-11-01,33,124,11,7,1,105,13,82,180,198,574,47,72
2019-12-01,22,134,5,8,1,66,5,45,129,100,354,39,61
2020-01-01,27,130,8,7,0,62,10,54,130,130,362,43,64
2020-02-01,30,118,14,10,5,77,11,55,151,96,258,40,74
2020-03-01,29,150,14,11,5,84,11,62,160,117,865,57,88
2020-04-01,25,146,14,9,1,95,12,71,185,140,577,41,87
2020-05-01,27,108,14,15,7,86,8,59,189,113,548,47,100
2020-06-01,29,82,19,8,3,64,8,54,130,107,361,38,86
2020-07-01,32,115,18,10,3,68,32,65,139,189,502,40,68
2020-08-01,20,59,12,12,6,44,7,33,108,59,168,41,86
